Subject,Task,Space,ROI,Threshold,Stat Type,Activated Voxels across Whole Brain (counts),Activated Voxels within ROI (counts),Activated Voxels across Whole Brain (%),Activated Voxels within ROI (%),Activated ROI/WB (%),%Activated ROI/%Activated WB (ratio),Voxels in ROI (counts),Voxels in Whole Brain (counts),Dice Coefficient,Coverage T-map (%),Coverage Z-map (%),Coverage T-map ROI (%),Coverage Z-map ROI (%)
UPN007trial2,lang,Native,Whole-brain STG,Z=3.1,Z-stat,120748,26370,7.500,49.600,1.600,6.610,53101,1591287,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Left STG,Z=3.1,Z-stat,53289,13965,6.500,50.900,1.700,7.830,27420,810850,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Right STG,Z=3.1,Z-stat,69529,12405,8.200,48.300,1.400,5.890,25681,841421,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Whole-brain Heschl,Z=3.1,Z-stat,120748,8606,7.500,46.800,0.500,6.240,18367,1591287,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Left Heschl,Z=3.1,Z-stat,53289,4944,6.500,50.500,0.600,7.760,9775,810850,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Right Heschl,Z=3.1,Z-stat,69529,3662,8.200,42.600,0.400,5.190,8592,841421,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Whole-brain STG,Z=2.35,Z-stat,326220,29613,20.500,55.700,1.800,2.710,53101,1591287,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Left STG,Z=2.35,Z-stat,154677,15519,19.000,56.500,1.900,2.970,27420,810850,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Right STG,Z=2.35,Z-stat,180044,14094,21.300,54.800,1.600,2.570,25681,841421,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Whole-brain Heschl,Z=2.35,Z-stat,326220,9602,20.500,52.200,0.600,2.540,18367,1591287,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Left Heschl,Z=2.35,Z-stat,154677,5312,19.000,54.300,0.600,2.850,9775,810850,N/A,N/A,N/A,N/A,N/A
