Subject,Task,Space,ROI,Threshold,Stat Type,Activated Voxels across Whole Brain (counts),Activated Voxels within ROI (counts),Activated Voxels across Whole Brain (%),Activated Voxels within ROI (%),Activated ROI/WB (%),%Activated ROI/%Activated WB (ratio),Voxels in ROI (counts),Voxels in Whole Brain (counts),Dice Coefficient,Coverage T-map (%),Coverage Z-map (%),Coverage T-map ROI (%),Coverage Z-map ROI (%)
UPN007trial2,motor_run-02,Native,Whole-brain,Z=3.1,Z-stat,165616,36195,10.500,34.400,2.200,3.270,105054,1577278,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Left,Z=3.1,Z-stat,80611,18635,10.000,35.600,2.300,3.560,52251,805161,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Right,Z=3.1,Z-stat,87927,18504,10.500,33.100,2.200,3.150,55885,832052,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Whole-brain,Z=2.35,Z-stat,332578,44384,21.000,42.200,2.800,2.000,105054,1577278,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Left,Z=2.35,Z-stat,176864,22804,21.900,43.600,2.800,1.990,52251,805161,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Right,Z=2.35,Z-stat,161700,22707,19.400,40.600,2.700,2.090,55885,832052,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,Native,Whole-brain,p<0.05,TFCE,894,433,0.800,0.400,0.400,0.500,105054,107840,0.009,88.000,0.400,100.000,1.100
UPN007trial2,motor_run-02,Native,Left,p<0.05,TFCE,816,417,1.300,0.700,0.600,0.530,52251,60260,0.018,95.900,0.900,100.000,2.200
UPN007trial2,motor_run-02,Native,Right,p<0.05,TFCE,80,16,0.100,0.000,0.000,0.000,55885,52691,0.000,22.800,0.000,100.000,0.000
UPN007trial2,motor_run-02,MNI,Whole-brain,Z=3.1,Z-stat,13665,3489,5.800,21.400,1.400,3.680,16267,235576,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Left,Z=3.1,Z-stat,6850,1963,5.700,23.800,1.600,4.170,8219,118455,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Right,Z=3.1,Z-stat,6986,1634,5.700,19.100,1.300,3.350,8517,121703,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Whole-brain,Z=2.35,Z-stat,25519,4455,10.800,27.300,1.800,2.520,16267,235576,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Left,Z=2.35,Z-stat,13322,2481,11.200,30.100,2.000,2.680,8219,118455,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Right,Z=2.35,Z-stat,12571,2111,10.300,24.700,1.700,2.390,8517,121703,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-02,MNI,Whole-brain,p<0.05,TFCE,68,26,0.900,0.100,0.300,0.110,16267,7470,0.006,92.600,0.300,100.000,0.700
UPN007trial2,motor_run-02,MNI,Left,p<0.05,TFCE,63,26,1.400,0.300,0.600,0.210,8219,4333,0.012,98.400,0.600,100.000,1.300
UPN007trial2,motor_run-02,MNI,Right,p<0.05,TFCE,6,0,0.100,0.000,0.000,0.000,8517,3369,0.000,16.600,0.000,0.0,0.000
